Publisher,Author,Summary,Published Date,ISBN-10,ISBN-13,Type,Book Title,Price,Binding,Pages,Product Dimensions
-,Adluri Subramanyam Raju,,-,-,978-8173046902,DISCOUNTED BOOKS,Maritime Cooperation Between India and Sri Lanka,"Rs. 1,000.00",-,-,-
W. W. Norton & Company,Nicholas Carr,"The best-selling author of The Big Switch returns with an explosive look at technology’s effect on the mind. “Is Google making us stupid?” When Nicholas Carr posed that question, in a celebrated Atlantic Monthly cover story, he tapped into a well of anxiety about how the Internet is changing us. He also crystallized one of the most important debates of our time: As we enjoy the Net’s bounties, are we sacrificing our ability to read and think deeply? Now, Carr expands his argument into the most compelling exploration of the Internet’s intellectual and cultural consequences yet published. As he describes how human thought has been shaped through the centuries by “tools of the mind”—from the alphabet to maps, to the printing press, the clock, and the computer—Carr interweaves a fascinating account of recent discoveries in neuroscience by such pioneers as Michael Merzenich and Eric Kandel. Our brains, the historical and scientific evidence reveals, change in response to our experiences. The technologies we use to find, store, and share information can literally reroute our neural pathways. Building on the insights of thinkers from Plato to McLuhan, Carr makes a convincing case that every information technology carries an intellectual ethic—a set of assumptions about the nature of knowledge and intelligence. He explains how the printed book served to focus our attention, promoting deep and creative thought. In stark contrast, the Internet encourages the rapid, distracted sampling of small bits of information from many sources. Its ethic is that of the industrialist, an ethic of speed and efficiency, of optimized production and consumption—and now the Net is remaking us in its own image. We are becoming ever more adept at scanning and skimming, but what we are losing is our capacity for concentration, contemplation, and reflection. Part intellectual history, part popular science, and part cultural criticism, The Shallows sparkles with memorable vignettes—Friedrich Nietzsche wrestling with a typewriter, Sigmund Freud dissecting the brains of sea creatures, Nathaniel Hawthorne contemplating the thunderous approach of a steam locomotive—even as it plumbs profound questions about the state of our modern psyche. This is a book that will forever alter the way we think about media and our minds",2010-06-15,0393072223,978-0393072228,SECOND-HAND BOOKS,The Shallows,"Rs. 1,850.00",hardcover,288,-
Random House Business,Ricardo Semler,"In The Seven-Day Weekend, Semler explains how he transformed a small family business into a highly profitable manufacturing, services and high-tech powerhouse - 40 times larger - while watching his favorite movies or relaxing with his son in the middle of the business day. Praise for The Seven-Day Weekend'Are there real-life lessons to be learned? The answer is yes-Pragmatic, inspirational and intriguing advice' The Times'Ricardo Semler is our kind of capitalist.' Guardian'In this book, Ricardo Semler tells how Semco, Latin America's fastest growing company, uses a revolutionary way of working to run a profit making company with a work force who love their jobs.' The Sunday Times'The Seven-Day Weekend challenges conventional approaches to work. It sparks ideas that can be applied to one's own business [and] will certainly encourage managers to look very carefully at their management practices.' Rocco Forte, Management TodayPraise for Ricardo Semler's Maverick!'Semco takes workplace democracy to previously unimagined frontiers' The Times'His egalitarian approach works like a dream' Today",2004-02-05,0099425238,978-0099425236,SECOND-HAND BOOKS,The Seven-Day Weekend,Rs. 350.00,paperback,288,-
-,Robert Greene,,-,-,978-1781250914,DISCOUNTED BOOKS,Mastery (The Robert Greene Collection) ,"Rs. 1,800.00",-,-,-
-,Sun-tzu,,-,-,978-0140439199,SECOND-HAND BOOKS,The Art of War: The Essential Translation of the Classic Book of Life,Rs. 500.00,-,-,-
-," Jean-Jacques Lambin, Isabelle Schuiling","Market-Driven Management adopts a broad approach to marketing, integrating the strategic and operational elements of the discipline. Lambin's unique approach reflects how marketing operates empirically, as both a business philosophy and an action-oriented process. Motivated by the increased complexity of markets, globalisation, deregulation, and the development of e-commerce, the author challenges the traditional concept of the 4Ps and the functional roles of marketing departments, focusing instead on the concept of market orientation. The book considers all of the key market stakeholders, arguing that developing market relations and enhancing customer value is the responsibility of every member of the organization, and that the development of this customer value is the only way for a firm to achieve profit and growth. New to this edition: - Greater coverage of ethical issues and corporate social responsibility: cultural diversity: value and branding and the economic downturn - Broad international perspective - Thoroughly revised to reflect the latest academic thinking and research With its unique approach, international cases and complementary online resources, this book is ideal for postgraduate and upper level undergraduate students of marketing, and for MBAs and Executive MBAs.",-,0230276024,9780230276024,DISCOUNTED BOOKS,Market-Driven Management 3rd Edition,"Rs. 5,000.00",Paperback,-,-
 Hachette Group,"Richard Reeves,John Knell",,2009-04-07,0755360044,978-0755360048,SECOND-HAND BOOKS,The 80 Minute MBA,"Rs. 1,300.00",Paperback,-,-
Free Press,Seth Godin,"The book that does for companies what WHO MOVED MY CHEESE? does for individual employees, SURVIVAL IS NOT ENOUGH provides a groundbreaking new way to organise companies and thrive during times of change. Everything in our world, from marketing to technology to distribution to the capital markets, is moving at a faster pace than ever. Yet most companies view change as a threat, and survival as the goal. This book transforms all that. It contains a simple yet revolutionary idea: we can evolve our companies the same way nature evolves a species. Evolution is a fundamental force of nature, and Seth Godin demonstrates how it can be put to work in any organisation. The first step is to eliminate the anti-change reflex that's genetically coded into all of us. Once a company learns to 'zoom' (to change without panicking), it is much more likely to evolve. And a company that evolves can become ever more profitable. For the last five years, bestselling author Seth Godin has repeatedly demonstrated the power of his books by living their advice. He used the tactics in PERMISSION MARKETING to drive the book up the bestseller list. He followed the advice of UNLEASHING THE IDEA VIRUS to turn his treatise into a living example of an ideavirus. Now, as a committed zoomer, he shows his legions of fans how to turn their company into one that can zoom from one change to another. It's a formula for success whether the market is up or down, whether technology is hot or not, in all industries, from retail to tech to restaurants.",2003-03-03,0743221230,978-0743221238,SECOND-HAND BOOKS,Survival is Not Enough,Rs. 750.00,papercover,288,-
Arrow Bks,gordon thomas,,1980-10-20,0099233703,978-0099233701,SECOND-HAND BOOKS,"the day the bubble burst, gordon thomas",Rs. 600.00,paperback,-,-
-,"Debashis Basu, Sucheta Dalal",,-,-,-,SECOND-HAND BOOKS,The Scam,Rs. 500.00,-,-,-
Harper Collins Publishers Ind Ltd,Doris Pooser,"Chateau Marine, her home on marine drive, is famous for its evenings mehfils and for the dream it nurtures, regular visitors includes Dilip Kumar, etc...it also is the home of her daughter Fatima, who will become known famously as Nargis.",2007, 8172236980, 9788172236984,BOOKS,An Indian Woman's Guide to Success,"Rs. 2,430.00",Hardcover,464,-
Plume Books,Jerry Porras,"The phenomenal follow-up to the bestselling Built to Last Imagine discovering what successful people have in common, distilling it into a set of simple practices, and using them to transform your career and your life. That's what Jerry Porras, Stewart Emery, and Mark Thompson, leading thinkers in organizational development and self-improvement, have done in Success Built to Last. Two hundred remarkable people are included, notably: -Jeff Bezos, founder and CEO, Amazon.com-Warren Buffett-Bill Clinton-Frances Hesselbein, former CEO, Girl Scouts of America-Maya Angelou-Bill Gates Each shares how he or she harvested victories, learned from failures, and found the courage to be true to their passions. By following a set of simple principles culled from these inspiring interviews, readers can transform their business and personal lives, and discover the true meaning of success",2007-08-27, 0452288703,978-0452288706,SECOND-HAND BOOKS,Success Built to Last,Rs. 600.00,paperback,304,-
HarperCollins,Wayne Gould,"Filling the Tube with many a feverish puzzle solver, Su Doku has attracted a startling number of devotees who eagerly begin their commute or leave early for lunch, puzzle in hand. Now, with Alpha Doku, solvers can turn their logic towards letters, satisfying their craving for a brisk, tantalizing mental exercise in a new and captivating way. Alpha Doku provides 100 puzzles in varying degrees of difficulty, in the same straight-forward, engaging structure of The Times Su Doku Books 1-5 series. However, solvers will work with the letters A-H, instead of the numbers 1-9. The Su Doku guru, Wayne Gould, has created this new puzzle collection. A figure of second-to-none Su Doku credibility, Gould sparked the craze when he brought the puzzles over from Japan and began setting them for The Times. Now, focusing his powers in a slightly different direction, Gould aims to create another mind-bending habit for puzzle solvers everywhere. Given a new spin and fresh look, Alpha Doku promises to be both innovative and as challenging and enjoyably addictive as the original.",2008,0007281536,9780007281534,BOOKS,Alpha Doku,Rs. 720.00,Paperback,176,-
harper collins india,Agatha Christie,"A conjurer of skill with an instinct for detection, Mr. Harley Quin has an almost magical flair for appearing at the scene of the most remarkable crimes. But is it just a trick of light that haunts his shadow with a ghostly apparition? Is it fate that invites him to a New Year's murder? And what forces are at work when his car breaks down outside Royalston Hall, an isolated estate with a deadly history?",2003, 0007282648,9780007282647,BOOKS,Agatha Christie : Mystereous Mr. Quin ,"Rs. 1,180.00",Paperback,-,-
Harpercollins Pb,Agatha Christie,,2001,0007299834,9780007299836,BOOKS,Agatha Christie : Labours Of Hercules,"Rs. 1,180.00",Paperback,-,-
John Wiley & Sons,William Nobrega,"In 2008, India will likely overtake China as the world s fastest growing economy and become one of the largest economies globally. Foreign investment is increasing dramatically and business opportunities abound for those who know how to find them. With a growing middle class and booming markets, India holds much promise for investors. Riding the Indian Tiger shows you how to get in on the ground floor and profit from India s economic boom.",2008-02-08,0470183276,978-0470183274,SECOND-HAND BOOKS,Riding the Indian Tiger,"Rs. 1,100.00",Hardcover,272,-
Farrar Straus Giroux,Alice Mcdermott,,2006-09,0374168091,9780374168094,BOOKS,After This,"Rs. 3,350.00",Hardcover,279,8.32 x 5.9 x 0.99 inches
Cassell Illustrated,Colin McDowell,"Since the opening of his first store in New York in 1971, the name Ralph Lauren has become a household name. Throughout his career Lauren has reinterpreted the themes of yesterday and translated them into American classics, taken traditional styles one step up, making them newer, trendier, younger and more diverse. This volume, written with the close co-operation of Lauren himself, is both a celebration and exploration of the themes that inspired him, and of the man behind the looks he has created.",2002-12-12,0304356484,978-0304356485,SECOND-HAND BOOKS,Ralph Lauren and the Spirit of America,"Rs. 1,350.00",hardcover,208,-
Financial Times/ Prentice Hall,Jim Champy,"This concise, fast-paced book is about consistently outsmarting the competition in an environment where even the best strategies rarely prevail. It's about companies that have accelerated to the leading edge of business practice and stayed there, year after year. And it's from the author who has written one of the most revolutionary books of all time: James Champy, author of Reengineering the Corporation. In Outsmart!, Champy teaches the remarkable lessons of businesses that have achieved super-high growth rates for 3 or more years in a row. These ""high-velocity"" companies range from classic startups to old-line family-run manufacturing businesses: from S.A. Robotics to Stonyfield Farms, MinuteClinic to Shutterfly. Champy uncovers what they share in common and shows how you can do it too in your company. Drawing on his rigorous, far-reaching research, you'll learn how to generate strategy organically: from the frontlines, executive suites, and everywhere in between. You'll discover how to outsmart your competitors by finding distinctive market positions and sustainable advantages in products and services, surprising delivery methods, and unexpected customers with unexpected needs.You'll learn how to uncover ""bubbles worth bursting"", organize your ideas and sharpen your focus, and combine high purpose with cool pragmatism. And you'll learn how to recognize when the world's getting ready to catch up, so you can outsmart them yet again!",2008-02-26,0132357771,978-0132357777,SECOND-HAND BOOKS,Outsmart!,Rs. 600.00,Hardcover,208,-
Headline Book Publishing,Joan Jonker,A funny and touching Liverpool saga from the popular Joan Jonker,06 September 2001,074726614X,9780747266143,BOOKS,After the Dance is Over,"Rs. 1,900.00",Paperback,512,-
Midland Publishing,Howard J Curtis,The 2012 edition of Military Aircraft Markings will continue to lead the field in the spotter's guide market and produced for military aviation enthusiasts at the start of the show season.,15 March 2012,1857803582,9781857803587,BOOKS,ABC Military Aircraft Markings 2012,Rs. 895.00,Paperback,224,-
Simon & Schuster UK,Stephen R. Covey,"PRINCIPLE CENTRED LEADERSHIP will help solve these dilemmas - and many others: * how do we achieve a wise and renewing balance between work and family in the midst of constant pressures and crises? * how do we unleash the creativity, talent and energy of the vast majority of the work force, whose jobs neither require nor reward such resources? * how can we have a culture characterised by change, flexibility and continuous improvement and still maintain a sense of stability and security? * how do we create team spirit and harmony among people and departments that have been criticising and attacking each other for years? * how do we get people and culture aligned with strategy, so that everyone in an organisation is as committed to the strategy as those who formulated it?",1999-01-04,068485841X,978-0684858418,SECOND-HAND BOOKS,Principle Centred Leadership PRINCIPLE CENTRED LEADERSHIP will help solve these dilemmas - and many others: * how do we achieve a wise and renewing balance between work and family in the midst of constant pressures and crises? * how do we unleash the crea,Rs. 600.00,paperback,352,-
Midland Publishing,Allan S. Wright,"Still the most authoritative and comprehensive guide to all the aircraft registered in Britain and overseas airliners to be seen in British skies, now fully updated for the new season.",-, 1857803574,9781857803570,BOOKS,ABC Civil Aircraft Markings 2012,Rs. 900.00,Paperback,448,-
Random House Business,Allan Leighton,,2008-03-08,1905211449,978-1905211449,SECOND-HAND BOOKS,On Leadership,Rs. 600.00,Paperback,352,-
Gower Publishing Ltd, Harry A. Mills,"Aimed primarily at those involved in negotiation, this text attempts to provide the skills and strategies necessary to become a master negotiator and includes examples drawn from business and labour negotiations to emphasize key points.",1991-07-11,0566072874,978-0566072871,SECOND-HAND BOOKS,Negotiate: The Art of Winning,"Rs. 1,100.00",hardcover,206,-
-,Steven Howard,,-,-,-,SECOND-HAND BOOKS,More Powerful Marketing Minutes ,Rs. 500.00,-,-,-
Graphicare,Upatissa Attygalle,,-,-,9789555344616,BOOKS,After all Women are Human too and other stories,"Rs. 5,000.00",-,168,135mmX195mm
-,-,,-,-,-,SECOND-HAND BOOKS,LIFE - How Did it Get Here? By Evolution or By Creation ,Rs. 250.00,-,-,-
Tata McGraw-Hill Education India,Ram Charan,.,2017-01-24,0070142300,9780070142305,SECOND-HAND BOOKS,Leadership in the Era of Economic Uncertainity,Rs. 600.00,hardcover,-,-
Macmillan,Thomas J. Peters,"In this radical work, brimming with illuminating examples from innovative companies around the world, Peters shows how two primary forces - globalization and information technology - are bringing about the most drastic transformation in the history of business. To meet the challenges of the future, managers must change in equally drastic ways if they are to succeed in tomorrow's world. Using extensive case studies from all corners of the world economy, Peters shows that as products multiply, speed and flexibility are becoming of paramount importance and new units will usurp traditional management structures, liberating individuals. This ground-breaking book is as important for the 1990s as In Search of Excellence and Thriving on Chaos were for the 1980s, to anyone concerned with management thinking, and is essential reading for everyone responsible for a business or for his or her own future.",1992-11-27,0333533402,978-0679416623,SECOND-HAND BOOKS,Liberation Management,Rs. 600.00,Hardcover,460,-
-,Philip Kotler,,-,-, 978-0684860473,SECOND-HAND BOOKS,Kotler on Marketing ,Rs. 850.00,Paperback,-,-
HYPERION,RUDOLPH W. GIULIANI,"Writing in his familiar voice -- a New Yorker's bluntness, leavened by his passion for ideas -- Rudolph Giuliani demonstrates in Leadership how the leadership skills he practices can be employed successfully by anyone who has to run anything. After all, until the September 11 attacks on the World Trade Center pushed him into an unwanted role in history, Giuliani was only months away from leaving office with a reputation as one of the most effective mayors New York had ever seen. Having inherited a city ravaged by crime and crippled in its ability to serve its citizens, Giuliani shows how he found that every aspect of his career up to that point-from clerking for the formidable judge who demanded excellence (and rewarded it with a lifetime of loyalty) to busting organized crime during his years as a federal attorney-shaped his thinking about leadership and prepared him for the daunting challenges ahead. Giuliani's successes in turn strengthened his conviction about the core qualities required to be an effective leader, no matter what the size of the organization, be it an international corporation or a baseball team. In detailing his principles of leadership, Giuliani tells captivating stories that are personal as well as prescriptive: how he learned the importance of staying calm in the face of attack from his father's boxing lessons-as well as the need to stand up to bullies: how a love of reading was early instilled in him by his mother and grew into a determination to master new subjects, and not rely on only the word of experts: how, in his recent fight with prostate cancer, learning to make decisions at the right time and with the right information reflected decision-making on a larger scale. Leadership, Giuliani writes, works both ways: it is a privilege, but it carries responsibilities-from imposing a structure suitable to an organization's purpose, to forming a team of people who bring out the best in each other, to taking the right, unexpected risks.",-,1401351875,978-1401351878,SECOND-HAND BOOKS,Leadership,Rs. 700.00,paperback,-,-
Warner Books,Ricardo Semler,"Semler turned his family's business, the aging Semco corporation of Brazil, into the most revolutionary business success story of our time. By eliminating uneeded layers of management and allowing employees unprecedented democracy in the workplace, he created a company that challenged the old ways and blazed a path to success in an uncertain economy",1995-05-01,0446670553,978-0446670555,SECOND-HAND BOOKS,Maverick,Rs. 600.00,paperback,352,-
-, Bert Dodson,"Anyone who can hold a pencil can learn to draw. In this book, Bert Dodson shares his complete drawing system-fifty-five ""keys"" that you can use to render any subject with confidence, even if you're a beginner. These keys, along with dozens of practice exercises, will help you draw like an artist in no time. You'll learn how to: * Restore, focus, map, and intensify * Free your hand action, then learn to control it * Convey the illusions of light, depth, and texture * Stimulate your imagination through ""creative play""",-,0891343377,9780891343370,DISCOUNTED BOOKS,Keys to Drawing,"Rs. 3,200.00",-,-,-
Canongate Books Ltd,Yann Martel,"One boy, one boat, one tiger ...After the tragic sinking of a cargo ship, a solitary lifeboat remains bobbing on the wild, blue Pacific. The only survivors from the wreck are a sixteen year-old boy named Pi, a hyena, a zebra (with a broken leg), a female orang-utan and a 450-pound Royal Bengal tiger. The scene is set for one of the most extraordinary and best-loved works of fiction in recent years.",2012-10-04,0857865536,9780857865533,DISCOUNTED BOOKS,Life of Pi ,"Rs. 1,700.00",Paperback,352,7.7 x 5 x 0.9 inches
-,Charles W. L. Hill,"International Business is authored with an economic orientation with a strategic-financial focus and providescomprehensive and up-to-date material in an integrated flow between chapters. Since many issues in internationalbusiness are complex, the text explores the pros and cons of economic theories, government policies, businessstrategies, and organizational structures. The text is practical in nature, focusing on the managerial implications ofeach topic on the actual practice of international business",-,1259098036,9781259098031,DISCOUNTED BOOKS,International Business: Competing in the Global Marketplace ,"Rs. 18,500.00",-,-,-
Cengage Learning EMEA,Isobel Doole,"This text looks at context, techniques and strategies involved in successful international marketing. With short case illustrations, case studiementation behind international marketing, and adopts a user-friendly approach to the issues tackled. Through its treatment of global case studies from Europe, Australia, the Pacific Rim and the USA, it seeks to present an international vision of marketing strategy. The book includes such topics as: global information systems: the global manager: international niche marketing: international developments in retailing: electronic business and relationship marketing: and new international case studies to illustrate the key points.s, summaries and discussion questions, this book is aimed particularly at students. It sets out to provide a good balance of the theory and imple",-,1861524722,9781861524720,SECOND-HAND BOOKS,International Marketing Strategy,"Rs. 1,100.00",paperback,576,-
-, Niall Ferguson,,-,-,9780713998702,DISCOUNTED BOOKS,Kissinger: 1923-1968: the Idealist (Hard cover),"Rs. 7,250.00",-,-,-
 Addison-Wesley Educational Publishers Inc, Dorothy Elizabeth Robling Denning,"This book provides a comprehensive and detailed look at information warfare: computer crime, cybercrime, and information terrorism. It describes attacks on information systems through theft, deception, or sabotage, and demonstrates the countermeasures being mounted to defeat these threats. Focusing on the criminals and information terrorists whose depredations include information-based threats to nations, corporations, and individuals, Denning places cybercrime within a broader context, integrating the various kinds of information crime, and the countermeasures against it, into a methodology-based framework. * Among the topics included are government use of information warfare for law enforcement investigations and for military and intelligence operations: also, the conflicts arising in the areas of free speech and encryption. The author discusses offensive information warfare, including acquisition of information, deceptive exploitation of information, and denial of access to information: and also addresses defensive information warfare, specifically, information security principles and practices. The book features coverage that is both broad and deep, illustrating cyberspace threats with real-world examples.",-,0201433036,9780201433036,DISCOUNTED BOOKS,Information Warfare and Security,"Rs. 12,300.00",Paperback,544,-
ames Bennett Pty Ltd,Hillary Rodham Clinton,,-,0743262026,978-0743262026,SECOND-HAND BOOKS,Living History,Rs. 600.00,paperback,896,-
North Atlantic Books,"Peter A. Levine, Gabor Mate","**Unraveling Trauma in the Body, Brain and Mind—a Revolution in Treatment** In this culmination of his life’s work, Peter A. Levine draws on his broad experience as a clinician, a student of comparative brain research, a stress scientist and a keen observer of the naturalistic animal world to explain the nature and transformation of trauma in the body, brain and psyche. In an Unspoken Voice is based on the idea that trauma is neither a disease nor a disorder, but rather an injury caused by fright, helplessness and loss that can be healed by engaging our innate capacity to self-regulate high states of arousal and intense emotions. Enriched with a coherent theoretical framework and compelling case examples, the book elegantly blends the latest findings in biology, neuroscience and body-oriented psychotherapy to show that when we bring together animal instinct and reason, we can become more whole human beings.",2010-09,1556439431,9781556439438,DISCOUNTED BOOKS,In An Unspoken Voice: How The Body Releases Trauma And Restores Goodness ,"Rs. 3,000.00",Paperback,384,9.1 x 6.08 x 0.93 inches
-, Ravinder Singh,,-,-,9780143418764,DISCOUNTED BOOKS,I Too Had a Love Story,Rs. 750.00,-,-,-
Magna Publishing Co Ltd,John  Newman,"If you can conquer stress, you can conquer anything. How to stay cool, calm and collected when the pressure's on presents a plan for choosing how to destroy stress methodically and completely. it shows How to recognize, How you can deal with problems, Choose the reactions and approaches that will drive you in the right direction, Take action by developing and following a personal effectiveness plan.",01-01-2001,8178090791,9788178090795,DISCOUNTED BOOKS,How to Stay Cool Calm & Collected,Rs. 800.00,Paperback,198,-
Marvel Comics,Jeph Loeb,,2012-01-18,0785160396,9780785160397,DISCOUNTED BOOKS,Hulk: World War Hulks,"Rs. 3,200.00",Hardcover,256,-
-, Alan Swann,"The function of design is to communicate--whether it's about a product, concept or a company. This comprehensive book shows readers how design works and how it can work for them. It provides all the groundwork a beginner needs, and acts as a sourcebook for experienced designers who are is looking for fresh ideas and approaches. Authors Alan Swann and David Dabner break the subject down into three comprehensive sections: - BASIC DESIGN PRINCIPLES details the ground rules of design, type and color- DESIGN DECISIONS examines the various stages of design--including the initial brief, copy, imagery and results--and how each may be analyzed- DESIGN PROJECTS AND CATEGORIES reviews various types of design with commentary on how the above principles have been applied Hundreds of illustrations, step-by-step instructions, exercises and case studies clarify every lesson, while checklists at the end of each section highlight all the points readers need to remember.",-,1581804350,9781581804355,DISCOUNTED BOOKS,How to Understand and Use Design and Layout - 2nd edition,"Rs. 3,400.00",Paperback,128,-
John Wiley & Sons Inc,"Francis D. K. Ching, Corky Binggeli",,2012-07-03,1118090713,9781118090718,DISCOUNTED BOOKS,Interior Design Illustrated ,"Rs. 8,500.00",Paperback,384,21.5 x 2.3 x 27.6 cm
Simon & Schuster Ltd,"Dave Nasser, With Lynne Barrett-Lee",(Hardcover),2011-08-04,0857200992,9780857200990,DISCOUNTED BOOKS,Giant George: Life with the Biggest Dog in the World,"Rs. 1,500.00",Hardcover,272,21.8 x 14 x 3.2 cm
Penguin,Rommel Rodrigues,"On 26 November 2008 ten heavily armed terrorists entered Mumbai. They headed for the city’s iconic landmarks and the mayhem they unleashed lasted nearly 60 hours. The audacious terror attacks jolted Mumbai like never before. Even as they mourned, the residents of Maximum City demanded answers. But the information they got in return—accounts of the investigation, government rhetoric, newspaper reports, television features, books and even a film—was sketchy at best. Meanwhile, the courts continued with their prosecution of Mohammed Ajmal Amir Kasab, the lone surviving 26/11 gunman. The broad picture available to the public is of the Pakistan-based terrorist organization Lashkar-e-Taiba and its ringleaders such as Hafiz Muhammad Saeed and Zaki-ur-Rehman Lakhvi training, arming and dispatching ten young men in a boat to attack India’s commercial capital. All we have been told about Kasab is that he was just another recruit brainwashed into carrying out the plot against Mumbai. Kasab: The Face of 26/11 breaks new ground by painstakingly piecing together Kasab’s terror trail. The narrative follows Kasab through the bylanes of Pakistani villages and cities as he made his way towards PoK: the dense forests where the terrorist-training camps are situated: the trains, buses and jeeps he boarded: the Indian vessel he and the others hijacked en route to Mumbai’s shores: Kasab’s capture and incarceration. Rommel Rodrigues’ path-breaking investigative journalism fleshes out for the first time the well thought-out planning and organization that lay behind the attacks of 26/11.",2010-12-10,0143415476,9780143415473,SECOND-HAND BOOKS,Kasab,Rs. 400.00,Paperback,-,-
Hachette India And Hodder & Stoughton,John Grisham,"In a day, 2008 changed the fortunes of billions of people across the Earth. Samantha Kofer was one of them. Her fast track job on Wall Street had veered to a stop, and she had nothing to grab on except for a payless opportunity to work at a legal aid clinic. At the end of a year, there was a small chance she’d get her old job back, a really small chance. From the grand metropolis of Manhattan, her new job takes her to Brady, Virginia, set in the heart of a place she’d only read about: the Appalachia. Here, she works under Mattie Wyatt, who has lived here his entire life and heads the legal aid clinic. He teaches her about helping people with real problems. Samantha’s new job teaches her how to prepare an actual lawsuit, face a real courtroom, take a judge’s scoldings head on and receive threats from townsfolk who are displeased about having an urban lawyer in their town. Her work is pretty much cut out for her, but there’s one problem: Brady has a secret. This town is neck deep in the murky world of coal mining, and there is no law that the mining operations recognize. Samantha didn’t expect that here, she’d find herself at the head of the biggest litigations in recent times.",2014-10-24,1473610419,9781473610415,DISCOUNTED BOOKS,Gray Mountain ,Rs. 900.00,Paperback,416,-
Orion Childrens,"Francesca Simon,Tony Ross",,2008-09-04,1858818265,9781858818269,DISCOUNTED BOOKS,Horrid Henry and the Bogey Babysitter,"Rs. 1,000.00",Paperback,96,-
Wiley India Pvt. Ltd.,Nitin Pangarkar,"High Performance Companies complements the approach adopted by many of the existing books on strategy. The author proposes a number of thumb rules (or principles) that companies can consider while making their day-to-day decisions which, in turn, will determine their actual strategy. These principles traverse a wide spectrum of scenarios, such as strategic changes implemented by companies, resource allocation decisions especially towards building durable assets, and resource acquisition through inorganic means. The book adopts a reader-friendly approach by teasing out the lessons from detailed cases studies of interesting companies. The writing minimizes jargon while maintaining rigor especially with regard to the applicability and relevance of the strategic principles to different business contexts. Nitin also cites extensive evidence in support of the proposed arguments (e.g., about performance achieved, resources deployed) and achieves this without making the material intimidating (in other words, without sacrificing readability) for a typical business student or manager. The combination of both short and long case studies in each chapter demonstrate the general applicability of the principles and also improve the relevance to a typical reader by introducing diversity in contexts. A variety of examples are included ranging from well-known companies such Coca Cola, Singapore Airlines and Starbucks to relatively lesser known companies such as Illinois Tool Work, SAS Institute and Heng Long Leather.",2011-01-02,8126533617,9788126533619,DISCOUNTED BOOKS,High Performance Companies: Successful Strategies from the World's Top Achievers,"Rs. 1,250.00",Paperback,224,-
Arrow,E. L. James,"Daunted by the singular tastes and dark secrets of the beautiful, tormented young entrepreneur Christian Grey, Anastasia Steele has broken off their relationship to start a new career with a Seattle publishing house. But desire for Christian still dominates her every waking thought, and when he proposes a new arrangement, Anastasia cannot resist. They rekindle their searing sensual affair, and Anastasia learns more about the harrowing past of her damaged, driven and demanding Fifty Shades. While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her, and make the most important decision of her life.",2012-04-26,0099579928,9780099579922,DISCOUNTED BOOKS,Fifty Shades Darker,"Rs. 1,000.00",Paperback,384,-
RANDOM HOUSE BUSINESS BOOKS,"Larry Bossidy, Ram Charan, Charles Burck","When Execution was first published in 2002, it changed the way we did our jobs. By analysing the discipline of getting things done, it helped thousands of business people to make the final leap to success. Now, Larry Bossidy and Ram Charan reframe their empowering message for a world in which the old rules have been shattered and radical change is becoming routine. For the foreseeable future: - Growth will be slower. But the company that executes well will have the confidence, speed and resources to move fast as new opportunities emerge. - Competition will be fiercer, with companies searching for any possible advantage in every area. - Governments will take on new roles in their national economies. And companies that execute well will be more attractive as partners and suppliers, and better prepared to adapt to new waves of regulation. - Risk management will become a top priority for every leader, and every company will be looking for the edge in detecting new internal and external threats. Forget formulating a 'vision', then leaving others to carry it out: Execution shows you how to link together people, strategy and operations - the three core elements of every organisation - and create a business based on dialogue, intellectual honesty and realism. With case histories from the real world - including such recent examples such as the diverging paths taken by Jamie Dimon at JPMorgan Chase and Charles Prince at Citigroup - Execution provides the realistic and hard-nosed approach to business success that could only come from authors as accomplished and insightful as Bossidy and Charan.",2011-03-02,1847940684,9781847940681,DISCOUNTED BOOKS,Execution: The Discipline of Getting Things Done,"Rs. 2,000.00",Paperback,320,-
Rutledge Hill Press,"Bridges, Curtis","Being a gentleman is not rocker science. It requires a little logic, a bit of forethought, and a great deal of consideration for others. You've scaled Mt. Everest, performed open - heart surgery, designed a skyscraper, and argued a case before the Supreme Court. But have you ever invited seven friends into your home to enjoy a meal you've prepared yourself .Like any new challenge, you can feel at ease if you understand the situation and are prepared. Practical and unpretentious, A gentleman Entertains reveals essential preparations to take before entertaining, ideas for twelve specific parties complete with a game plan and foolproof recipes, hundreds of tips and suggestions to make your guests think you know what you are doing, and stress-relieving hints for disaster control when go wrong.",2004,8176499269,9788176499262,BOOKS,A Gentleman Entertains (A Guide To Making Memorable Occasions Happen),"Rs. 1,115.00",Paperback,192,-
-,Stephen C Lundin,,-,-,9780340924587,DISCOUNTED BOOKS,Fish Omnibus ,"Rs. 1,500.00",-,-,-
Harper Voyager,George R. R. Martin,"A beautifully presented slipcased edition of A Dance with Dragons, the fifth volume in the hugely popular and highly acclaimed epic fantasy series A SONG OF ICE AND FIRE: the ultimate collector's item for any fan. Now a major Sky Atlantic TV series from HBO, starring Sean Bean.",15 March 2012,0007456379,9780007456376,BOOKS,A Dance with Dragons: Book 5 of a Song of Ice and Fire,"Rs. 6,470.00",Hardback,1040,-
